data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1974 -9 1  2.794670e+05 1.970171e+05 3.495935e-01 4.084178e-01 7.326849e-01
catch 21 1 1974 -9 2  1.449188e+05 1.498971e+05 -3.377582e-02 -3.945911e-02 7.326849e-01
catch 21 1 1974 -9 3  2.910000e+04 8.216031e+04 -1.037934e+00 -1.212582e+00 7.326849e-01
catch 21 1 1974 -9 4  1.738620e+04 1.977484e+04 -1.287335e-01 -1.503949e-01 7.326849e-01
catch 21 1 1974 -9 5  5.490210e+03 6.580173e+03 -1.810945e-01 -2.115664e-01 7.326849e-01
catch 21 1 1974 -9 6  4.500000e+03 2.534629e+03 5.740303e-01 6.706195e-01 7.326849e-01
catch 21 1 1974 -9 7  8.823500e+02 9.281134e+02 -5.056516e-02 -5.907351e-02 7.326849e-01
catch 21 1 1974 -9 8  6.526300e+02 1.101183e+03 -5.231301e-01 -5.902635e-01 7.854663e-01
catch 21 1 1975 -9 1  1.614200e+06 4.075811e+05 1.376355e+00 1.607947e+00 7.326849e-01
catch 21 1 1975 -9 2  1.308000e+05 1.409393e+05 -7.465991e-02 -8.722257e-02 7.326849e-01
catch 21 1 1975 -9 3  1.919261e+04 7.145226e+04 -1.314504e+00 -1.535689e+00 7.326849e-01
catch 21 1 1975 -9 4  7.500000e+03 3.479760e+04 -1.534645e+00 -1.792872e+00 7.326849e-01
catch 21 1 1975 -9 5  7.900000e+03 1.177020e+04 -3.987080e-01 -4.657966e-01 7.326849e-01
catch 21 1 1975 -9 6  2.683330e+03 3.994625e+03 -3.978911e-01 -4.648423e-01 7.326849e-01
catch 21 1 1975 -9 7  1.800000e+03 1.551213e+03 1.487495e-01 1.737789e-01 7.326849e-01
catch 21 1 1975 -9 8  8.228600e+02 1.246659e+03 -4.154365e-01 -4.687496e-01 7.854663e-01
catch 21 1 1976 -9 1  1.500000e+04 7.374949e+04 -1.592624e+00 -1.860607e+00 7.326849e-01
catch 21 1 1976 -9 2  1.661000e+05 7.676767e+04 7.718065e-01 9.016745e-01 7.326849e-01
catch 21 1 1976 -9 3  2.098211e+04 1.578244e+04 2.847723e-01 3.326895e-01 7.326849e-01
catch 21 1 1976 -9 4  8.783110e+03 7.140128e+03 2.070998e-01 2.419475e-01 7.326849e-01
catch 21 1 1976 -9 5  3.300000e+03 5.307209e+03 -4.751436e-01 -5.550937e-01 7.326849e-01
catch 21 1 1976 -9 6  1.000000e+02 1.832532e+03 -2.908283e+00 -3.397646e+00 7.326849e-01
catch 21 1 1976 -9 7  1.000000e+02 6.279490e+02 -1.837289e+00 -2.146440e+00 7.326849e-01
catch 21 1 1976 -9 8  1.272700e+02 4.420801e+02 -1.245180e+00 -1.404975e+00 7.854663e-01
catch 21 1 1977 -9 1  6.225686e+04 1.387248e+04 1.501362e+00 1.753988e+00 7.326849e-01
catch 21 1 1977 -9 2  1.814058e+04 8.286263e+03 7.835523e-01 9.153968e-01 7.326849e-01
catch 21 1 1977 -9 3  1.773000e+05 6.007396e+03 3.384852e+00 3.954404e+00 7.326849e-01
catch 21 1 1977 -9 4  9.400000e+03 1.085420e+03 2.158743e+00 2.521984e+00 7.326849e-01
catch 21 1 1977 -9 5  4.929580e+03 6.876341e+02 1.969752e+00 2.301193e+00 7.326849e-01
catch 21 1 1977 -9 6  2.767500e+03 5.216511e+02 1.668701e+00 1.949485e+00 7.326849e-01
catch 21 1 1977 -9 7  1.500000e+03 1.821366e+02 2.108463e+00 2.463244e+00 7.326849e-01
catch 21 1 1977 -9 8  4.000000e+02 1.069987e+02 1.318648e+00 1.487871e+00 7.854663e-01
catch 21 1 1978 -9 1  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 2  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 3  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 4  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 5  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 6  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1978 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 1  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 2  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 3  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 4  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 5  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 6  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1979 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1980 -9 1  9.746222e+04 3.305906e+04 1.081169e+00 1.263092e+00 7.326849e-01
catch 21 1 1980 -9 2  6.700000e+03 8.390042e+03 -2.249380e-01 -2.627871e-01 7.326849e-01
catch 21 1 1980 -9 3  1.410000e+04 6.000391e+03 8.543502e-01 9.981074e-01 7.326849e-01
catch 21 1 1980 -9 4  3.912150e+03 2.920160e+03 2.924485e-01 3.416574e-01 7.326849e-01
catch 21 1 1980 -9 5  3.700000e+03 1.553125e+03 8.680639e-01 1.014129e+00 7.326849e-01
catch 21 1 1980 -9 6  1.045500e+02 1.251385e+03 -2.482340e+00 -2.900032e+00 7.326849e-01
catch 21 1 1980 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1980 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1981 -9 1  1.155122e+05 9.213253e+04 2.261480e-01 2.642009e-01 7.326849e-01
catch 21 1 1981 -9 2  1.377902e+04 3.487686e+04 -9.286764e-01 -1.084940e+00 7.326849e-01
catch 21 1 1981 -9 3  9.015800e+02 7.497455e+03 -2.118170e+00 -2.474584e+00 7.326849e-01
catch 21 1 1981 -9 4  3.007600e+02 4.701076e+03 -2.749234e+00 -3.211834e+00 7.326849e-01
catch 21 1 1981 -9 5  1.993000e+02 2.935138e+03 -2.689699e+00 -3.142281e+00 7.326849e-01
catch 21 1 1981 -9 6  7.031000e+02 1.591830e+03 -8.171407e-01 -9.546370e-01 7.326849e-01
catch 21 1 1981 -9 7  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1981 -9 8  -99.9 -99.9 -99.9  -99.9 -99.9
catch 21 1 1982 -9 1  7.877501e+04 1.223127e+05 -4.399848e-01 -5.140189e-01 7.326849e-01
catch 21 1 1982 -9 2  9.682534e+04 5.201139e+04 6.214461e-01 7.260137e-01 7.326849e-01
catch 21 1 1982 -9 3  1.005000e+05 1.650584e+04 1.806444e+00 2.110405e+00 7.326849e-01
catch 21 1 1982 -9 4  1.010000e+04 3.117829e+03 1.175399e+00 1.373177e+00 7.326849e-01
catch 21 1 1982 -9 5  5.500000e+03 2.536708e+03 7.738811e-01 9.040982e-01 7.326849e-01
catch 21 1 1982 -9 6  2.200000e+03 1.614493e+03 3.094366e-01 3.615039e-01 7.326849e-01
catch 21 1 1982 -9 7  2.000000e+03 8.877736e+02 8.121857e-01 9.488481e-01 7.326849e-01
catch 21 1 1982 -9 8  2.350000e+03 1.168604e+03 6.986058e-01 7.882580e-01 7.854663e-01
catch 21 1 1983 -9 1  1.071943e+05 2.701737e+05 -9.244220e-01 -1.079970e+00 7.326849e-01
catch 21 1 1983 -9 2  8.288924e+04 1.065792e+05 -2.513829e-01 -2.936819e-01 7.326849e-01
catch 21 1 1983 -9 3  2.200000e+04 4.302206e+04 -6.706706e-01 -7.835210e-01 7.326849e-01
catch 21 1 1983 -9 4  1.758327e+04 1.610324e+04 8.792713e-02 1.027222e-01 7.326849e-01
catch 21 1 1983 -9 5  2.800000e+03 3.692602e+03 -2.767119e-01 -3.232728e-01 7.326849e-01
catch 21 1 1983 -9 6  1.200000e+03 3.062337e+03 -9.368567e-01 -1.094497e+00 7.326849e-01
catch 21 1 1983 -9 7  4.000000e+02 1.976126e+03 -1.597429e+00 -1.866220e+00 7.326849e-01
catch 21 1 1983 -9 8  4.052600e+02 2.545590e+03 -1.837589e+00 -2.073407e+00 7.854663e-01
catch 21 1 1984 -9 1  3.632911e+05 3.891773e+05 -6.883067e-02 -8.041247e-02 7.326849e-01
catch 21 1 1984 -9 2  1.547840e+05 2.886144e+05 -6.230612e-01 -7.279006e-01 7.326849e-01
catch 21 1 1984 -9 3  8.532756e+04 9.345623e+04 -9.099569e-02 -1.063071e-01 7.326849e-01
catch 21 1 1984 -9 4  3.546651e+04 3.871023e+04 -8.751505e-02 -1.022408e-01 7.326849e-01
catch 21 1 1984 -9 5  1.461261e+04 1.241188e+04 1.632308e-01 1.906969e-01 7.326849e-01
catch 21 1 1984 -9 6  3.749310e+03 3.144057e+03 1.760577e-01 2.056821e-01 7.326849e-01
catch 21 1 1984 -9 7  2.186780e+03 2.642614e+03 -1.893383e-01 -2.211973e-01 7.326849e-01
catch 21 1 1984 -9 8  6.164140e+03 3.949161e+03 4.452454e-01 5.023838e-01 7.854663e-01
catch 21 1 1985 -9 1  1.785225e+06 3.935604e+05 1.512065e+00 1.766493e+00 7.326849e-01
catch 21 1 1985 -9 2  9.032850e+04 2.988391e+05 -1.196452e+00 -1.397773e+00 7.326849e-01
catch 21 1 1985 -9 3  2.425462e+05 1.748605e+05 3.272038e-01 3.822608e-01 7.326849e-01
catch 21 1 1985 -9 4  9.421589e+04 5.749701e+04 4.938559e-01 5.769546e-01 7.326849e-01
catch 21 1 1985 -9 5  3.504073e+04 2.012642e+04 5.544775e-01 6.477767e-01 7.326849e-01
catch 21 1 1985 -9 6  9.020690e+03 7.187948e+03 2.271151e-01 2.653306e-01 7.326849e-01
catch 21 1 1985 -9 7  7.070000e+03 1.843979e+03 1.343935e+00 1.570072e+00 7.326849e-01
catch 21 1 1985 -9 8  9.954550e+03 3.915002e+03 9.332138e-01 1.052973e+00 7.854663e-01
catch 21 1 1986 -9 1  6.859143e+05 6.023580e+05 1.299008e-01 1.517585e-01 7.326849e-01
catch 21 1 1986 -9 2  2.821102e+05 2.206012e+05 2.459414e-01 2.873248e-01 7.326849e-01
catch 21 1 1986 -9 3  2.730491e+05 1.296746e+05 7.446235e-01 8.699176e-01 7.326849e-01
catch 21 1 1986 -9 4  1.647881e+05 7.678569e+04 7.636422e-01 8.921365e-01 7.326849e-01
catch 21 1 1986 -9 5  4.759672e+04 2.118164e+04 8.096289e-01 9.458611e-01 7.326849e-01
catch 21 1 1986 -9 6  2.728328e+04 8.288813e+03 1.191367e+00 1.391833e+00 7.326849e-01
catch 21 1 1986 -9 7  7.371920e+03 2.995447e+03 9.005848e-01 1.052122e+00 7.326849e-01
catch 21 1 1986 -9 8  1.535704e+04 2.432063e+03 1.842834e+00 2.079326e+00 7.854663e-01
catch 21 1 1987 -9 1  3.267737e+06 7.716902e+05 1.443270e+00 1.686122e+00 7.326849e-01
catch 21 1 1987 -9 2  4.321266e+05 4.060774e+05 6.217494e-02 7.263681e-02 7.326849e-01
catch 21 1 1987 -9 3  2.111971e+05 1.172656e+05 5.883508e-01 6.873497e-01 7.326849e-01
catch 21 1 1987 -9 4  1.564436e+05 7.017628e+04 8.016851e-01 9.365807e-01 7.326849e-01
catch 21 1 1987 -9 5  7.762105e+04 3.500934e+04 7.962238e-01 9.302005e-01 7.326849e-01
catch 21 1 1987 -9 6  1.571071e+04 1.074641e+04 3.797710e-01 4.436732e-01 7.326849e-01
catch 21 1 1987 -9 7  4.580750e+03 4.251438e+03 7.460536e-02 8.715884e-02 7.326849e-01
catch 21 1 1987 -9 8  4.657500e+03 2.814928e+03 5.035420e-01 5.681617e-01 7.854663e-01
catch 21 1 1988 -9 1  6.069969e+05 4.942206e+05 2.055419e-01 2.401274e-01 7.326849e-01
catch 21 1 1988 -9 2  2.523696e+05 5.339594e+05 -7.494252e-01 -8.755272e-01 7.326849e-01
catch 21 1 1988 -9 3  2.420710e+05 2.212368e+05 8.999717e-02 1.051406e-01 7.326849e-01
catch 21 1 1988 -9 4  1.365549e+05 6.507018e+04 7.412603e-01 8.659885e-01 7.326849e-01
catch 21 1 1988 -9 5  1.097686e+05 3.271183e+04 1.210638e+00 1.414346e+00 7.326849e-01
catch 21 1 1988 -9 6  5.064419e+04 1.815622e+04 1.025811e+00 1.198419e+00 7.326849e-01
