

Observed catches

Species:  



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0         0         0         0         0         0         0         0         0
         1    139635    169862    232476    547729     58501    615698   1248084    175863
         2     74502     63121    182989     98935    253025     96413    122048    221933
         3     11418     18849     18672     25989     17178     44384     34938     34646
         4     15745      4640      6707      4597      9396      4011     12274      8953
         5      4601      7525      1732      2286      2989      3375      1958      4088
         6       956      2057      3056       833      1103       708      1269       779
         7       436       447       920      1140       408       396       494       599
         8       393       195       130       370       403       139       197       133
         9       330       228        67       262       152       157        73        64
        10       268       158       105       122        79        59        81        57

Yield         252714    241132    305329    347182    327061    428086    587443    390754


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0         0         0         0         0         0         0         0         0
         1    248166     80437    601879     72096    663347     49451     36738    198992
         2     73132    139526     78543    153957     38069    189722     72109     44768
         3     60005     21480     31092     19003     34277      9761     43929     18544
         4      9487     11787      4238      7779      5791      8689      3117      9791
         5      3447      2803      3415      1369      2981      1528      2543       994
         6      2048      1246      1013      1257       602      1071       652      1028
         7       425       589       434       371       554       234       293       249
         8       234       179       243       172       170       215        66       139
         9        77        89        59        78        69        55        63        27
        10        42        51        64        46        67        60        41        41

Yield         356376    279032    378275    245642    339692    243840    193767    201155


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0         0         0         0         0         0         0         0         0
         1     45504     60761    129572     38121    336092     60242     19124    109552
         2    102027     31528     41353     82709     41773    106084     59360     42494
         3     11873     17002      8525     11145     21045     12783     23809     18430
         4      4299      3267      4916      3126      3045      5223      3125      6409
         5      2445      1372      1041      1546       859       790      1834      1221
         6       307      1039       482       426       513       282       393       690
         7       307       222       323       200       140       148       159       151
         8        54       137        51       106        57        41        87        47
         9        60        27        39        17        32        14        42        14
        10        21        14        26        23        22        18        12        25

Yield         151592    119678    148985    141383    208173    168055    138777    155600


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0         0         0         0         0         0         0         0         0
         1     16701     36793     45118      7624     30692      6135     21807     11222
         2    171206     15180     27965     53403     21265     14975     12452     16478
         3     18293     39904      6310      6797     17012      4328      7460      4831
         4      5909      3959      6529      1114      2805      3127      1650      1863
         5      2379      1419       996      1053       395       397       944       546
         6       504       614       375       140       384        68       155       351
         7       233       219       135        82        58        61        29        52
         8        41        89        39        27        38        15        19        13
         9        16        14        18        13        18         5         6        11
        10        16        12         6         7         4         3         2         2

Yield         184807    107734     82922     61987     65036     34437     36471     38104


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         0         0         0         0         0         0
         1     28177     16947     11185     10127     10987      5035     11815      6871
         2     39743     29381     12599     13887     14188     12391      7420      8743
         3      6375      4921     11721      5494      5831      4970      6789      3919
         4      1020      2043      1369      3539      1646      1489      2077      2989
         5       524       451       720       646      1344       616       638       949
         6       187       161       224       254       199       455       249       229
         7       121        40        70        53        65        49       139       100
         8        23        41        26        19        16        28        15        38
         9         4         6        13        17         6         5         4         5
        10         1         2         2        14         5         4         5         2

