Species.n catch CPUE SSB.Rec  stomachs stomachs.N other.pred_noise penalty all n.catch n.CPUE n.SSB.R n.stom n.all.obs  other.noise n.par
1   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
2   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
3   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
4   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
5   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
6   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
7   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
8   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
9   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
10   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
11   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
12   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
13   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
14   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
15   0 0 0 0 0 0 0 -2541.86  0 0 0 0 0 0 1710
16   -410.151 -181.918 -0.451375 0 0 0 0 -2541.86  490 528 49 0 1067 0 1710
17   -195.429 -198.003 -17.7045 0 0 0 0 -2541.86  294 392 49 0 735 0 1710
18   -156.474 -180.995 20.5437 0 0 0 0 -2541.86  490 608 49 0 1147 0 1710
19   -331.51 -76.0052 -22.2404 0 0 0 0 -2541.86  392 343 46 0 781 0 1710
20   -455.926 -78.0495 -8.51597 0 0 0 0 -2541.86  490 387 49 0 926 0 1710
21   273.585 -202.237 5.00219 0 0 0 0 -2541.86  1666 336 49 0 2051 0 1710
22   163.34 53.1335 19.8468 0 0 0 0 -2541.86  196 243 49 0 488 0 1710
23   89.7572 -29.6406 11.128 0 0 0 0 -2541.86  882 158 49 0 1089 0 1710
24   247.642 -35.2069 6.97832 0 0 0 0 -2541.86  686 296 49 0 1031 0 1710
25   231.208 -71.8981 -3.46149 0 0 0 0 -2541.86  588 267 49 0 904 0 1710
26   -408.639 -144.218 -27.3639 0 0 0 0 -2541.86  490 864 47 0 1401 0 1710
27   -439.965 25.7037 -6.55984 0 0 0 0 -2541.86  490 668 47 0 1205 0 1710
