Species.n sp_fl CPUE meanCPUE
16 1 -130.960 -0.468
16 2  -50.958 -0.205
17 3  -95.692 -0.478
17 4 -102.311 -0.533
18 5 -115.030 -0.359
18 6  -65.965 -0.229
19 7  -76.005 -0.222
20 8  -78.050 -0.202
21 9 -172.230 -0.652
21 10  -19.748 -0.494
21 11  -10.259 -0.331
22 12   12.040 0.317
22 13   -6.454 -0.108
22 14    8.447 0.141
22 15   21.786 0.751
22 16   17.315 0.309
23 17   12.918 0.340
23 18  -19.722 -0.329
23 19  -22.836 -0.381
24 20   -1.229 -0.020
24 21  -36.155 -0.301
24 22    3.273 0.051
24 23   -1.097 -0.022
25 24   -8.127 -0.159
25 25   -7.017 -0.057
25 26  -56.754 -0.610
26 27   -4.558 -0.046
26 28 -158.310 -0.586
26 29  -71.038 -0.555
26 30   50.788 0.279
26 31   46.384 0.301
26 32   -7.484 -0.241
27 33  -76.342 -0.201
27 34  102.046 0.354
