Year Quarter Species.n Age M1 M2 M F Z N N.bar C.hat C.obs west weca Yield Yield.core CWsum CWsum.core prop.landed prop.in propmat BIO SSB Lsea ration
1974 1 16 1 0 0 0.294 0.0702189 0.364219 719011 602621 42315.4 0 0.0519 0.304 0 0 0 0 1 1 0.0072 37316.7 268.68 0 0 
1974 1 16 2 0 0 0.1778 0.19279 0.37059 176112 147163 28371.6 0 0.576 0.901 0 0 0 0 1 1 0.0483 101441 4899.58 0 0 
1974 1 16 3 0 0 0.0539 0.199249 0.253149 27514.8 24308.3 4843.4 0 1.5787 2.206 0 0 0 0 1 1 0.209 43437.7 9078.47 0 0 
1974 1 16 4 0 0 0.0499 0.164258 0.214158 36310.1 32685.4 5368.84 0 3.24419 4.156 0 0 0 0 1 1 0.6188 117797 72892.7 0 0 
1974 1 16 5 0 0 0.05 0.144204 0.194204 10943.9 9946.8 1434.37 0 5.24525 6.174 0 0 0 0 1 1 0.8459 57403.5 48557.6 0 0 
1974 1 16 6 0 0 0.05 0.139427 0.189427 2244.95 2045.14 285.148 0 7.82621 8.333 0 0 0 0 1 1 1 17569.5 17569.5 0 0 
1974 1 16 7 0 0 0.05 0.143225 0.193225 1094.69 995.424 142.569 0 8.78805 9.889 0 0 0 0 1 1 1 9620.18 9620.18 0 0 
1974 1 16 8 0 0 0.05 0.122684 0.172684 1071.89 984.447 120.775 0 10.3177 10.791 0 0 0 0 1 1 1 11059.5 11059.5 0 0 
1974 1 16 9 0 0 0.05 0.140179 0.190179 570.781 519.789 72.8633 0 11.7651 12.175 0 0 0 0 1 1 1 6715.33 6715.33 0 0 
1974 1 16 10 0 0 0.05 0.140179 0.190179 490.404 446.592 62.6027 0 13.0215 13.3397 0 0 0 0 1 1 1 6385.78 6385.78 0 0 
1974 2 16 1 0 0 0.294 0.0702189 0.364219 499525 418664 29398.1 0 0.116 0.304 0 0 0 0 1 1 0.0072 57944.9 417.203 0 0 
