 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974          5129957         187047         408746         252714          0.742
1975          3135973         174958         418331         241132          0.775
1976          7638110         158287         445637         305329          0.866
1977          5004398         125631         427688         347182          0.829
1978          5075276         120128         507853         327061          0.974
1979          8022068         112995         468752         428086          0.786
1980          3398134         125349         515371         587443          0.882
1981          5881512         133064         548938         390754          0.901
1982          3366088         127224         444046         356376          1.021
1983          5625494         107253         401928         279032          1.017
1984          1851294          93400         356797         378275          0.916
1985          6422048          94503         358690         245642          0.903
1986          2871474          81856         306890         339692          0.963
1987          2051851          85419         360291         243840          0.937
1988          2989319          82169         276839         193767          0.942
1989          1524634          77093         230768         201155          0.962
1990          1732585          74221         222572         151592          0.908
1991          3010881          70132         179100         119678          0.882
1992          1593377          69375         194456         148985          0.798
1993          2903490          75881         222382         141383          0.916
1994          2292590          79060         216830         208173          0.859
1995          1801257          92829         258962         168055          0.843
1996          4100983         101911         251129         138777          0.910
1997           783736         101491         253780         155600          0.875
1998          1155677         107061         278518         184807          1.162
1999          1883418          76526         146119         107734          1.145
2000           762514          57487         129107          82922          1.113
2001           757795          56934         136115          61987          0.785
2002           601128          54987         105414          65036          1.041
2003           903816          42699          81716          34437          0.666
2004           822461          43348          82504          36471          0.739
2005          1496844          45562          91000          38104          0.738
2006           738788          47595         101314          37577          0.770
2007           711630          55095         119369          54641          0.606
2008           817066          61042         110439          51795          0.680
2009          1064691          62170         108149          54026          0.675
2010           556306          59243         110347          49106          0.622
2011           719877          63361         117615          40687          0.497
2012           988323          68026         113093          40764          0.475
2013          1027948          73081         122955          40757          0.449
2014           610319          78285         139474          45192          0.440
2015           407790          87865         149676          49900          0.458
2016           765825          85694         134320          50310          0.452
2017           287707          87465         129776          46369          0.492
2018           484603          79001         120947          47904          0.705
2019           654370          64759          95169          35390          0.575
2020           476960          56720          91596          23607          0.413
2021           708274          62276         107301          18228          0.248
2022          1155856          66404         116121          21128          0.259
2023                           79321

A.radiata 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-5
1974         26350578         265825         348443         319955          1.066
1975         20148549         243941         401675         275667          1.076
1976         24874856         304474         435522         325609          0.997
1977         37530971         325654         480670         289306          0.744
1978         20807110         407276         645323         188049          0.477
1979         17689301         439363         751726         244055          0.545
1980          6899106         437940         647600         223016          0.513
1981          6647999         400586         499449         192209          0.537
1982          5682993         305594         378790         140246          0.468
1983          9626528         245798         336890         161686          0.623
1984          6709128         186774         308686         145646          0.709
1985         13355454         186777         282987         100207          0.536
1986         12934694         196621         393323         161469          0.688
1987          9840633         210649         357155         138906          0.631
1988         14157063         237511         344819         133010          0.588
1989          7574133         240748         385727         123530          0.510
1990          7131882         264117         363434         152969          0.571
1991          7501606         243974         349122         126467          0.389
1992          8971369         239719         331449         108738          0.431
1993          8499415         219591         312044         116871          0.502
1994          7814483         215844         315014         101628          0.467
1995          5537102         218909         314705         106220          0.380
1996          4624004         201422         273879          76090          0.343
1997          6256955         183571         243097          61475          0.304
1998         10413013         158831         226776          47405          0.266
1999         12199467         153666         245558          60836          0.347
2000         10053773         189019         340385          63908          0.289
2001          8749778         215253         329718          45177          0.186
2002          3781599         208154         278477          46412          0.179
2003          4016387         199897         236351          45646          0.262
2004          4758209         161198         200600          33564          0.204
2005          4990951         141148         189356          28873          0.188
2006          4040295         127667         178488          36746          0.245
2007          6660051         117356         150845          26968          0.225
2008          6120824         124287         175302          28251          0.213
2009          5817677         137052         181903          28362          0.191
2010          6740695         179856         230341          34441          0.189
2011          4009617         174072         230317          30673          0.169
2012          3109537         186375         221334          30224          0.181
2013          5609947         174865         202453          26639          0.153
2014          5690635         170385         223651          28373          0.158
2015          5384802         176536         230237          36255          0.200
2016          6466420         185831         236513          33371          0.181
2017          4238034         198688         241292          29348          0.146
2018          5676824         205954         247945          28438          0.135
2019         11974660         214507         265673          30510          0.140
2020          9608629         275368         382922          34996          0.118
2021          2975944         346822         456396          33193          0.092
2022          7705633         377977         433495          27891          0.059
2023                          402290

 

Year         Recruits          SSB            TSB          Yield           mean-F
              (1000)        (tonnes)       (tonnes)       (tonnes)        age 2-4
1974         41186802         376172         883747         396271          0.757
1975          3075743         329717        1594393         494728          0.929
1976          3126380         507752        1020806         402849          0.856
1977          5069064         379033         511589         240340          0.851
1978          9460850         170169         338458         146706          0.887
1979         19174918         135885         439348         149064          0.860
1980          4090189         188245         796504         202451          0.806
1981          6376202         317024         649504         226485          0.628
1982          3978517         370638         604510         256108          0.619
1983         13866129         284064         473441         253230          0.794
1984          2949401         226012         643469         247089          0.871
1985          3631610         255876         507257         247098          0.832
1986          8283088         244633         391922         223727          0.861
1987           992031         175505         452449         194995          0.931
1988           968791         182050         328236         179974          0.951
1989          1676138         142029         188650         127719          0.927
1990          4207548          76988         137708          86748          0.869
1991          4731983          63536         204489          97264          0.899
1992          6860938         100670         295184         135185          0.814
1993          2874523         161067         426681         180218          0.927
1994         10125469         200915         388983         169436          0.876
1995          3335705         193300         518914         168928          0.786
1996          3752250         248781         494182         204683          0.952
1997          1933057         233547         390325         170009          0.731
1998          1285521         197999         305399         161929          0.797
1999         17045267         144307         206759         123489          0.984
2000          3872992         110662         586617         126823          0.887
2001           664294         342923         640025         173366          0.712
2002           772725         382673         450774         155333          0.636
2003           622048         241928         271707          74350          0.359
2004           532104         163702         188566          72513          0.397
2005          3971857         117192         137746          64115          0.415
2006           868389          87450         202368          66967          0.660
2007           610401         128960         185406          67425          0.601
2008           459588         124123         149620          49900          0.403
2009          3343314          88279         106960          46492          0.369
2010           353422          81669         180886          41304          0.408
2011           167500         122026         164891          42868          0.379
2012           366452         132283         142890          42920          0.324
2013           304955         100015         112852          46685          0.286
2014          2588964          73323          86489          45915          0.458
2015           594862          59760         140314          41475          0.672
