Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
16 1974  5.12996e+06 187047 408746 252714 241273 252714 252714 241273 252714 0.74173 0
16 1975  3.13597e+06 174958 418331 241132 252957 241132 241132 252957 241132 0.775297 0
16 1976  7.63811e+06 158287 445637 305329 261931 305329 305329 261931 305329 0.866468 0
16 1977  5.0044e+06 125631 427688 347182 283505 347182 347182 283505 347182 0.829353 0
16 1978  5.07528e+06 120128 507853 327061 386580 327061 327061 386580 327061 0.974332 0
16 1979  8.02207e+06 112995 468752 428086 314609 428086 428086 314609 428086 0.785588 0
16 1980  3.39813e+06 125349 515371 587443 366462 587443 587443 366462 587443 0.88165 0
16 1981  5.88151e+06 133064 548938 390754 368468 390754 390754 368468 390754 0.900925 0
16 1982  3.36609e+06 127224 444046 356376 372646 356376 356376 372646 356376 1.0208 0
16 1983  5.62549e+06 107253 401928 279032 323167 279032 279032 323167 279032 1.01669 0
16 1984  1.85129e+06 93400.2 356797 378275 271891 378275 378275 271891 378275 0.915675 0
16 1985  6.42205e+06 94502.5 358690 245642 238998 245642 245642 238998 245642 0.902596 0
16 1986  2.87147e+06 81855.8 306890 339692 240136 339692 339692 240136 339692 0.963174 0
16 1987  2.05185e+06 85419 360291 243840 261333 243840 243840 261333 243840 0.936651 0
16 1988  2.98932e+06 82169.4 276839 193767 211471 193767 193767 211471 193767 0.942242 0
16 1989  1.52463e+06 77092.9 230768 201155 186446 201155 201155 186446 201155 0.961774 0
16 1990  1.73259e+06 74220.8 222572 151592 145844 151592 151592 145844 151592 0.908386 0
16 1991  3.01088e+06 70131.8 179100 119678 131953 119678 119678 131953 119678 0.881961 0
16 1992  1.59338e+06 69374.6 194456 148985 146022 148985 148985 146022 148985 0.797751 0
16 1993  2.90349e+06 75880.5 222382 141383 135224 141383 141383 135224 141383 0.916479 0
16 1994  2.29259e+06 79059.7 216830 208173 126114 208173 208173 126114 208173 0.85934 0
16 1995  1.80126e+06 92828.8 258962 168055 146852 168055 168055 146852 168055 0.8425 0
16 1996  4.10098e+06 101911 251129 138777 160374 138777 138777 160374 138777 0.909811 0
16 1997  783736 101491 253780 155600 153719 155600 155600 153719 155600 0.875424 0
16 1998  1.15568e+06 107061 278518 184807 163242 184807 184807 163242 184807 1.16182 0
16 1999  1.88342e+06 76526.2 146119 107734 97167.9 107734 107734 97167.9 107734 1.14487 0
16 2000  762514 57487 129107 82922.2 87890.1 82922.2 82922.2 87890.1 82922.2 1.1132 0
16 2001  757795 56934.1 136115 61986.7 59041.6 61986.7 61986.7 59041.6 61986.7 0.785381 0
